transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Day_name,month_name,date_of_month,Day_Classification,Time_Classification,Time_classification,Spend_bucket,Revenue
1,2023-01-01,2026-03-17T07:06:11.000Z,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,6
2,2023-01-01,2026-03-17T07:08:56.000Z,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,6.2
3,2023-01-01,2026-03-17T07:14:04.000Z,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,9
4,2023-01-01,2026-03-17T07:20:24.000Z,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,2
5,2023-01-01,2026-03-17T07:22:41.000Z,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,6.2
6,2023-01-01,2026-03-17T07:22:41.000Z,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3
7,2023-01-01,2026-03-17T07:25:49.000Z,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,2
8,2023-01-01,2026-03-17T07:33:34.000Z,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,4
9,2023-01-01,2026-03-17T07:39:13.000Z,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,4.25
10,2023-01-01,2026-03-17T07:39:34.000Z,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,7
11,2023-01-01,2026-03-17T07:43:05.000Z,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,2.55
12,2023-01-01,2026-03-17T07:44:35.000Z,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,7
13,2023-01-01,2026-03-17T07:45:51.000Z,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3
14,2023-01-01,2026-03-17T07:48:19.000Z,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3.1
15,2023-01-01,2026-03-17T07:52:36.000Z,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,6
16,2023-01-01,2026-03-17T07:59:58.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,6
17,2023-01-01,2026-03-17T07:59:58.000Z,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3.75
18,2023-01-01,2026-03-17T08:00:18.000Z,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,2.5
19,2023-01-01,2026-03-17T08:00:39.000Z,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,9
20,2023-01-01,2026-03-17T08:11:45.000Z,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,4.75
21,2023-01-01,2026-03-17T08:17:27.000Z,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,7
22,2023-01-01,2026-03-17T08:24:26.000Z,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,5.1
23,2023-01-01,2026-03-17T08:24:26.000Z,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3.25
24,2023-01-01,2026-03-17T08:29:38.000Z,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,2.55
25,2023-01-01,2026-03-17T08:31:23.000Z,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3.75
26,2023-01-01,2026-03-17T08:33:08.000Z,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3
27,2023-01-01,2026-03-17T08:33:08.000Z,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3.5
28,2023-01-01,2026-03-17T08:35:03.000Z,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,6
29,2023-01-01,2026-03-17T08:35:03.000Z,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3.75
30,2023-01-01,2026-03-17T08:41:57.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,7.5
31,2023-01-01,2026-03-17T08:52:03.000Z,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3.75
32,2023-01-01,2026-03-17T08:52:32.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3
33,2023-01-01,2026-03-17T08:54:33.000Z,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,7
34,2023-01-01,2026-03-17T08:56:27.000Z,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,5
35,2023-01-01,2026-03-17T08:57:46.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,2.5
36,2023-01-01,2026-03-17T08:58:55.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sun,Jan,1,weekday,01.Rush Hour,01.Rush Hour,01.Low Spend,3
37,2023-01-01,2026-03-17T09:00:12.000Z,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4
38,2023-01-01,2026-03-17T09:00:24.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,7.5
39,2023-01-01,2026-03-17T09:07:13.000Z,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
40,2023-01-01,2026-03-17T09:08:09.000Z,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
41,2023-01-01,2026-03-17T09:08:13.000Z,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
42,2023-01-01,2026-03-17T09:10:30.000Z,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,7.5
43,2023-01-01,2026-03-17T09:10:30.000Z,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4.5
44,2023-01-01,2026-03-17T09:11:06.000Z,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.55
45,2023-01-01,2026-03-17T09:11:06.000Z,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
46,2023-01-01,2026-03-17T09:13:01.000Z,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
47,2023-01-01,2026-03-17T09:13:15.000Z,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,5.1
48,2023-01-01,2026-03-17T09:14:16.000Z,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
49,2023-01-01,2026-03-17T09:14:17.000Z,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
50,2023-01-01,2026-03-17T09:14:25.000Z,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
51,2023-01-01,2026-03-17T09:14:41.000Z,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
52,2023-01-01,2026-03-17T09:15:09.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
53,2023-01-01,2026-03-17T09:15:13.000Z,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
54,2023-01-01,2026-03-17T09:19:21.000Z,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4.4
